INFO:root:Training embeddings with the following parameters:
INFO:root:Vocab file: data/vocab/vocab_freqs.json
INFO:root:Data file: data/txt/data_lemmas.txt
INFO:root:No. of negative samples: 15
INFO:root:No. of context words at each side: 3
INFO:root:Batch size: 64
INFO:root:No. of dimensions of the embeddings: 100
INFO:root:Dataset has 50139 words


INFO:root:Starting epoch 1
INFO:root:Avg. loss in the last 100 batches: -4.443363666534424
INFO:root:Avg. loss in the last 100 batches: -4.911661624908447
INFO:root:Avg. loss in the last 100 batches: -4.675764560699463
INFO:root:Avg. loss in the last 100 batches: -5.043254852294922
INFO:root:Avg. loss in the last 100 batches: -4.755634307861328
INFO:root:Avg. loss in the last 100 batches: -4.628579616546631
INFO:root:Avg. loss in the last 100 batches: -5.07197380065918
INFO:root:Avg. loss in the last 100 batches: -4.759092807769775
INFO:root:Avg. loss in the last 100 batches: -4.7747907638549805
INFO:root:Avg. loss in the last 100 batches: -4.295631408691406
INFO:root:Avg. loss in the last 100 batches: -4.834219932556152
INFO:root:Avg. loss in the last 100 batches: -4.488977432250977
INFO:root:Avg. loss in the last 100 batches: -4.645974159240723
INFO:root:Avg. loss in the last 100 batches: -4.277338027954102
INFO:root:Avg. loss in the last 100 batches: -4.195554256439209
INFO:root:Avg. loss in the last 100 batches: -4.509870529174805
INFO:root:Avg. loss in the last 100 batches: -4.5562944412231445
INFO:root:Avg. loss in the last 100 batches: -4.555282115936279
INFO:root:Avg. loss in the last 100 batches: -4.79988431930542
INFO:root:Avg. loss in the last 100 batches: -4.596601963043213
INFO:root:Avg. loss in the last 100 batches: -4.435021877288818
INFO:root:Avg. loss in the last 100 batches: -4.448173999786377
INFO:root:Avg. loss in the last 100 batches: -4.239150524139404
INFO:root:Avg. loss in the last 100 batches: -4.735631465911865
INFO:root:Avg. loss in the last 100 batches: -4.760638236999512
INFO:root:Avg. loss in the last 100 batches: -4.126534461975098
INFO:root:Avg. loss in the last 100 batches: -4.798694133758545
INFO:root:Avg. loss in the last 100 batches: -4.35661506652832
INFO:root:Avg. loss in the last 100 batches: -4.703071117401123
INFO:root:Avg. loss in the last 100 batches: -4.306802749633789
INFO:root:Avg. loss in the last 100 batches: -4.242249965667725
INFO:root:Avg. loss in the last 100 batches: -4.347607135772705
INFO:root:Avg. loss in the last 100 batches: -3.982050895690918
INFO:root:Avg. loss in the last 100 batches: -4.196556091308594
INFO:root:Avg. loss in the last 100 batches: -4.68815279006958
INFO:root:Avg. loss in the last 100 batches: -4.163939952850342
INFO:root:Avg. loss in the last 100 batches: -3.9985435009002686
INFO:root:Avg. loss in the last 100 batches: -4.211928367614746
INFO:root:Avg. loss in the last 100 batches: -4.371953010559082
INFO:root:Avg. loss in the last 100 batches: -3.9654228687286377
INFO:root:Avg. loss in the last 100 batches: -3.8543264865875244
INFO:root:Avg. loss in the last 100 batches: -4.335553169250488
INFO:root:Avg. loss in the last 100 batches: -4.497123718261719
INFO:root:Avg. loss in the last 100 batches: -4.216485977172852
INFO:root:Avg. loss in the last 100 batches: -4.313975811004639
INFO:root:Avg. loss in the last 100 batches: -4.28316593170166
INFO:root:Avg. loss in the last 100 batches: -4.291093826293945
INFO:root:Avg. loss in the last 100 batches: -4.1677656173706055
INFO:root:Avg. loss in the last 100 batches: -4.03636360168457
INFO:root:Avg. loss in the last 100 batches: -4.086451530456543
INFO:root:Avg. loss in the last 100 batches: -4.310638427734375
INFO:root:Avg. loss in the last 100 batches: -4.093430042266846
INFO:root:Avg. loss in the last 100 batches: -4.54379940032959
INFO:root:Avg. loss in the last 100 batches: -4.276077747344971
INFO:root:Avg. loss in the last 100 batches: -4.154058933258057
INFO:root:Avg. loss in the last 100 batches: -4.219157695770264
INFO:root:Avg. loss in the last 100 batches: -4.196466445922852
INFO:root:Avg. loss in the last 100 batches: -4.067134380340576
INFO:root:Avg. loss in the last 100 batches: -4.011232852935791
INFO:root:Avg. loss in the last 100 batches: -4.121121883392334
INFO:root:Avg. loss in the last 100 batches: -4.244069576263428
INFO:root:Avg. loss in the last 100 batches: -4.117834091186523
INFO:root:Avg. loss in the last 100 batches: -4.299834728240967
INFO:root:Avg. loss in the last 100 batches: -4.081483840942383
INFO:root:Avg. loss in the last 100 batches: -3.9550721645355225
INFO:root:Avg. loss in the last 100 batches: -4.396054744720459
INFO:root:Avg. loss in the last 100 batches: -4.382889747619629
INFO:root:Avg. loss in the last 100 batches: -4.278073310852051
INFO:root:Avg. loss in the last 100 batches: -4.193173885345459
INFO:root:Avg. loss in the last 100 batches: -4.2030229568481445
INFO:root:Avg. loss in the last 100 batches: -4.156190872192383
INFO:root:Avg. loss in the last 100 batches: -4.148523807525635
INFO:root:Avg. loss in the last 100 batches: -3.729311227798462
INFO:root:Avg. loss in the last 100 batches: -3.890883445739746
INFO:root:Avg. loss in the last 100 batches: -4.030532360076904
INFO:root:Avg. loss in the last 100 batches: -4.046853065490723
INFO:root:Avg. loss in the last 100 batches: -4.202662467956543
INFO:root:Avg. loss in the last 100 batches: -3.8246352672576904
INFO:root:Avg. loss in the last 100 batches: -4.103976726531982
INFO:root:Avg. loss in the last 100 batches: -4.154011249542236
INFO:root:Avg. loss in the last 100 batches: -3.988006830215454
INFO:root:Avg. loss in the last 100 batches: -4.1060566902160645
INFO:root:Avg. loss in the last 100 batches: -4.200705051422119
INFO:root:Avg. loss in the last 100 batches: -3.9150471687316895
INFO:root:Avg. loss in the last 100 batches: -4.018983364105225
INFO:root:Avg. loss in the last 100 batches: -4.401401042938232
INFO:root:Avg. loss in the last 100 batches: -3.9030656814575195
INFO:root:Avg. loss in the last 100 batches: -4.375022888183594
INFO:root:Avg. loss in the last 100 batches: -3.5027687549591064
INFO:root:Avg. loss in the last 100 batches: -4.047138690948486
INFO:root:Avg. loss in the last 100 batches: -4.028436183929443
INFO:root:Avg. loss in the last 100 batches: -3.9698164463043213
INFO:root:Avg. loss in the last 100 batches: -3.829577922821045
INFO:root:Avg. loss in the last 100 batches: -4.107694149017334
INFO:root:Avg. loss in the last 100 batches: -4.224479675292969
INFO:root:Avg. loss in the last 100 batches: -4.006714344024658
INFO:root:Avg. loss in the last 100 batches: -4.177729606628418
INFO:root:Avg. loss in the last 100 batches: -3.7971653938293457
INFO:root:Avg. loss in the last 100 batches: -4.251221656799316
INFO:root:Avg. loss in the last 100 batches: -3.9654128551483154
INFO:root:Avg. loss in the last 100 batches: -3.9550557136535645
INFO:root:Avg. loss in the last 100 batches: -4.110495567321777
INFO:root:Avg. loss in the last 100 batches: -3.9652774333953857
INFO:root:Avg. loss in the last 100 batches: -4.35253381729126
INFO:root:Avg. loss in the last 100 batches: -3.9691109657287598
INFO:root:Avg. loss in the last 100 batches: -4.0262322425842285
INFO:root:Avg. loss in the last 100 batches: -4.012379169464111
INFO:root:Avg. loss in the last 100 batches: -4.134819030761719
INFO:root:Avg. loss in the last 100 batches: -3.9310803413391113
INFO:root:Avg. loss in the last 100 batches: -3.9258949756622314
INFO:root:Avg. loss in the last 100 batches: -4.141956329345703
INFO:root:Avg. loss in the last 100 batches: -3.9923839569091797
INFO:root:Avg. loss in the last 100 batches: -3.8996565341949463
INFO:root:Avg. loss in the last 100 batches: -3.8394289016723633
INFO:root:Avg. loss in the last 100 batches: -3.8567237854003906
INFO:root:Avg. loss in the last 100 batches: -4.0132365226745605
INFO:root:Avg. loss in the last 100 batches: -3.8236324787139893
INFO:root:Avg. loss in the last 100 batches: -3.8623061180114746
INFO:root:Avg. loss in the last 100 batches: -3.8681631088256836
INFO:root:Avg. loss in the last 100 batches: -4.019859313964844
INFO:root:Avg. loss in the last 100 batches: -4.076911449432373
INFO:root:Avg. loss in the last 100 batches: -4.154513835906982
INFO:root:Avg. loss in the last 100 batches: -4.176686763763428
INFO:root:Avg. loss in the last 100 batches: -4.263637065887451
INFO:root:Avg. loss in the last 100 batches: -3.862290859222412
INFO:root:Avg. loss in the last 100 batches: -4.19497013092041
INFO:root:Avg. loss in the last 100 batches: -3.865628957748413
INFO:root:Avg. loss in the last 100 batches: -4.1397624015808105
INFO:root:Avg. loss in the last 100 batches: -3.986584424972534
INFO:root:Avg. loss in the last 100 batches: -4.272757053375244
INFO:root:Avg. loss in the last 100 batches: -4.154942035675049
INFO:root:Avg. loss in the last 100 batches: -3.613032817840576
INFO:root:Avg. loss in the last 100 batches: -4.027457237243652
INFO:root:Avg. loss in the last 100 batches: -3.905369997024536
INFO:root:Avg. loss in the last 100 batches: -3.8833088874816895
INFO:root:Avg. loss in the last 100 batches: -4.030416488647461
INFO:root:Avg. loss in the last 100 batches: -3.6004509925842285
INFO:root:Avg. loss in the last 100 batches: -3.9383668899536133
INFO:root:Avg. loss in the last 100 batches: -3.7777934074401855
INFO:root:Avg. loss in the last 100 batches: -3.980830192565918
INFO:root:Avg. loss in the last 100 batches: -4.19992733001709
INFO:root:Avg. loss in the last 100 batches: -3.8768556118011475
INFO:root:Avg. loss in the last 100 batches: -3.869957685470581
INFO:root:Avg. loss in the last 100 batches: -3.78298020362854
INFO:root:Avg. loss in the last 100 batches: -4.1467485427856445
INFO:root:Avg. loss in the last 100 batches: -3.8736913204193115
INFO:root:Avg. loss in the last 100 batches: -4.038071155548096
INFO:root:Avg. loss in the last 100 batches: -3.7679154872894287
INFO:root:Avg. loss in the last 100 batches: -4.217475414276123
INFO:root:Avg. loss in the last 100 batches: -4.599203586578369
INFO:root:Avg. loss in the last 100 batches: -4.283701419830322
INFO:root:Avg. loss in the last 100 batches: -4.094096660614014
INFO:root:Avg. loss in the last 100 batches: -3.57671856880188
INFO:root:Avg. loss in the last 100 batches: -3.8064076900482178
INFO:root:Avg. loss in the last 100 batches: -4.040701389312744
INFO:root:Avg. loss in the last 100 batches: -3.961799144744873
INFO:root:Avg. loss in the last 100 batches: -3.773590326309204
INFO:root:Avg. loss in the last 100 batches: -4.218491554260254
INFO:root:Avg. loss in the last 100 batches: -4.436239719390869
INFO:root:Avg. loss in the last 100 batches: -3.908479928970337
INFO:root:Avg. loss in the last 100 batches: -4.048429489135742
INFO:root:Avg. loss in the last 100 batches: -3.7364165782928467
INFO:root:Avg. loss in the last 100 batches: -3.8347973823547363
INFO:root:Avg. loss in the last 100 batches: -3.8417012691497803
INFO:root:Avg. loss in the last 100 batches: -3.7443292140960693
INFO:root:Avg. loss in the last 100 batches: -3.626124143600464
INFO:root:Avg. loss in the last 100 batches: -3.8435652256011963
INFO:root:Avg. loss in the last 100 batches: -3.707942008972168
INFO:root:Avg. loss in the last 100 batches: -3.9201748371124268
INFO:root:Avg. loss in the last 100 batches: -3.9825024604797363
INFO:root:Avg. loss in the last 100 batches: -3.829002857208252
INFO:root:Avg. loss in the last 100 batches: -4.141751766204834
INFO:root:Avg. loss in the last 100 batches: -4.048957347869873
INFO:root:Avg. loss in the last 100 batches: -4.1039652824401855
INFO:root:Avg. loss in the last 100 batches: -3.8017525672912598
INFO:root:Avg. loss in the last 100 batches: -3.5516955852508545
INFO:root:Avg. loss in the last 100 batches: -3.80414080619812
INFO:root:Avg. loss in the last 100 batches: -4.0263872146606445
